threshold,auc,precision_pos,recall_pos,f1_pos,tn,fp,fn,tp
0.01,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.02661016949152542,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.043220338983050846,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.059830508474576265,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.07644067796610168,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.09305084745762711,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.10966101694915252,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.12627118644067795,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.14288135593220339,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.1594915254237288,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.17610169491525424,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.19271186440677965,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.20932203389830506,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.2259322033898305,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.2425423728813559,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.2591525423728813,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.27576271186440676,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.2923728813559322,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.3089830508474576,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.325593220338983,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.34220338983050846,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.35881355932203385,0.7554811631082423,0.848,1.0,0.9177489177489178,0,152,0,848
0.3754237288135593,0.7554811631082423,0.8488488488488488,1.0,0.918245804006497,1,151,0,848
0.3920338983050847,0.7554811631082423,0.8488488488488488,1.0,0.918245804006497,1,151,0,848
0.4086440677966101,0.7554811631082423,0.8488488488488488,1.0,0.918245804006497,1,151,0,848
0.42525423728813555,0.7554811631082423,0.8488488488488488,1.0,0.918245804006497,1,151,0,848
0.441864406779661,0.7554811631082423,0.8488488488488488,1.0,0.918245804006497,1,151,0,848
0.45847457627118643,0.7554811631082423,0.8488488488488488,1.0,0.918245804006497,1,151,0,848
0.4750847457627118,0.7554811631082423,0.8505516549648947,1.0,0.9192411924119241,3,149,0,848
0.49169491525423725,0.7554811631082423,0.8505516549648947,1.0,0.9192411924119241,3,149,0,848
0.5083050847457626,0.7554811631082423,0.8522613065326633,1.0,0.9202387411828541,5,147,0,848
0.5249152542372881,0.7554811631082423,0.8539778449144008,1.0,0.9212384573601303,7,145,0,848
0.5415254237288135,0.7554811631082423,0.8557013118062563,1.0,0.9222403480152257,9,143,0,848
0.5581355932203389,0.7554811631082423,0.8565656565656565,1.0,0.9227421109902068,10,142,0,848
0.5747457627118644,0.7554811631082423,0.8582995951417004,1.0,0.9237472766884531,12,140,0,848
0.5913559322033898,0.7554811631082423,0.8591691995947315,1.0,0.9242506811989101,13,139,0,848
0.6079661016949152,0.7554811631082423,0.859026369168357,0.9988207547169812,0.9236641221374046,13,139,1,847
0.6245762711864407,0.7554811631082423,0.8598984771573605,0.9988207547169812,0.9241680305510093,14,138,1,847
0.641186440677966,0.7554811631082423,0.8606307222787386,0.9976415094339622,0.9240851993446204,15,137,2,846
0.6577966101694914,0.7554811631082423,0.8640081799591002,0.9964622641509434,0.9255202628696605,19,133,3,845
0.6744067796610169,0.7554811631082423,0.86652977412731,0.9952830188679245,0.9264544456641054,22,130,4,844
0.6910169491525423,0.7554811631082423,0.870600414078675,0.9917452830188679,0.9272326350606395,27,125,7,841
0.7076271186440677,0.7554811631082423,0.8756530825496343,0.9882075471698113,0.9285318559556787,33,119,10,838
0.7242372881355932,0.7554811631082423,0.8769716088328076,0.9834905660377359,0.9271817676486938,35,117,14,834
0.7408474576271186,0.7554811631082423,0.8842443729903537,0.972877358490566,0.9264458169567659,44,108,23,825
0.757457627118644,0.7554811631082423,0.8880434782608696,0.9634433962264151,0.9242081447963801,49,103,31,817
0.7740677966101694,0.7554811631082423,0.8910112359550562,0.9351415094339622,0.9125431530494822,55,97,55,793
0.7906779661016948,0.7554811631082423,0.8949824970828472,0.9044811320754716,0.8997067448680351,62,90,81,767
0.8072881355932202,0.7554811631082423,0.8971291866028708,0.8844339622641509,0.8907363420427553,66,86,98,750
0.8238983050847457,0.7554811631082423,0.9031055900621118,0.8573113207547169,0.8796128251663642,74,78,121,727
0.8405084745762711,0.7554811631082423,0.9148936170212766,0.8113207547169812,0.86,88,64,160,688
0.8571186440677966,0.7554811631082423,0.921090387374462,0.7570754716981132,0.8310679611650486,97,55,206,642
0.873728813559322,0.7554811631082423,0.9281150159744409,0.6851415094339622,0.7883310719131614,107,45,267,581
0.8903389830508474,0.7554811631082423,0.9346534653465347,0.5566037735849056,0.6977087952697709,119,33,376,472
0.9069491525423728,0.7554811631082423,0.9393939393939394,0.4386792452830189,0.5980707395498392,128,24,476,372
0.9235593220338982,0.7554811631082423,0.9425287356321839,0.29009433962264153,0.4436429215509468,137,15,602,246
0.9401694915254236,0.7554811631082423,0.9433962264150944,0.1179245283018868,0.20964360587002095,146,6,748,100
0.9567796610169491,0.7554811631082423,0.9259259259259259,0.0294811320754717,0.05714285714285714,150,2,823,25
0.9733898305084745,0.7554811631082423,1.0,0.0011792452830188679,0.002355712603062426,152,0,847,1
0.99,0.7554811631082423,0.0,0.0,0.0,152,0,848,0
